"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5687","should enforce character limits for work update on homepage","desktop-chromium","2026-03-06","passed","2026-03-06","work updates","homepage.work.update.spec.ts","",""
"","7149","can navigate to the take a look url","desktop-chromium","2026-03-06","passed","2026-03-06","homepage - take a look","homepage.take.a.look.spec.ts","",""
"","27996","should enforce title and paragraph character limits in two columns","desktop-chromium","2026-03-06","passed","2026-03-06","homepage - latest news","homepage.latest.news.spec.ts","",""
"","6716","should enforce title and paragraph character limits in single column","desktop-chromium","2026-03-06","passed","2026-03-06","homepage - latest news","homepage.latest.news.spec.ts","",""
"","4984","should open blog page","desktop-chromium","2026-03-06","passed","2026-03-06","blogs","homepage.blog.spec.ts","",""
"","11110","can edit author details of a work update post","desktop-chromium","2026-03-06","passed","2026-03-06","work updates","homepage.work.update.spec.ts","",""
"","4791","should enforce character limits for blog on homepage","desktop-chromium","2026-03-06","passed","2026-03-06","blogs","homepage.blog.spec.ts","",""
"","6060","should open work update list page","desktop-chromium","2026-03-06","passed","2026-03-06","work updates","homepage.work.update.spec.ts","",""
"","9628","can edit author details of a blog post","desktop-chromium","2026-03-06","passed","2026-03-06","blogs","homepage.blog.spec.ts","",""
"","6220","should open work update page","desktop-chromium","2026-03-06","passed","2026-03-06","work updates","homepage.work.update.spec.ts","",""
"","5555","should display a single blog","desktop-chromium","2026-03-06","passed","2026-03-06","blogs","homepage.blog.spec.ts","",""
"","4881","should open blog list page","desktop-chromium","2026-03-06","passed","2026-03-06","blogs","homepage.blog.spec.ts","",""
"","13632","can edit a take a look component via wordpress customizer","desktop-chromium","2026-03-06","passed","2026-03-06","homepage - take a look","homepage.take.a.look.spec.ts","",""
"","12185","should display work updates in order (latest first and oldest last)","desktop-chromium","2026-03-06","passed","2026-03-06","work updates","homepage.work.update.spec.ts","",""
"","6559","should show the latest blog on the homepage","desktop-chromium","2026-03-06","passed","2026-03-06","blogs","homepage.blog.spec.ts","",""
"","6272","should display a single work update","desktop-chromium","2026-03-06","passed","2026-03-06","work updates","homepage.work.update.spec.ts","",""
"","6431","should display a look component with correct content","desktop-chromium","2026-03-06","passed","2026-03-06","homepage - take a look","homepage.take.a.look.spec.ts","",""
"","6463","should display article in single column","desktop-chromium","2026-03-06","passed","2026-03-06","homepage - latest news","homepage.latest.news.spec.ts","",""
"","7885","should open news details page","desktop-chromium","2026-03-06","passed","2026-03-06","homepage - latest news","homepage.latest.news.spec.ts","",""
"","24846","should display articles in two columns and in order (latest first and oldest last)","desktop-chromium","2026-03-06","passed","2026-03-06","homepage - latest news","homepage.latest.news.spec.ts","",""
